window_title,timestamp,category,app_name
MTGA,2023-10-16 19:45:42.555920,Other,unknown
MTGA,2023-10-16 19:46:12.575824,Other,unknown
,2023-10-16 19:46:42.590105,Other,unknown
,2023-10-16 19:47:12.606189,Other,unknown
,2023-10-16 19:47:42.627322,Other,unknown
,2023-10-16 19:48:12.643125,Other,unknown
,2023-10-16 19:48:42.661962,Other,unknown
,2023-10-16 19:49:12.679019,Other,unknown
,2023-10-16 19:49:42.685827,Other,unknown
,2023-10-16 19:50:12.713213,Other,unknown
,2023-10-16 19:50:42.737328,Other,unknown
,2023-10-16 19:51:12.756259,Other,unknown
,2023-10-16 19:51:42.772018,Other,unknown
,2023-10-16 19:52:12.787001,Other,unknown
,2023-10-16 19:52:42.807954,Other,unknown
,2023-10-16 19:53:12.828282,Other,unknown
,2023-10-16 19:53:42.844202,Other,unknown
,2023-10-16 19:54:12.854100,Other,unknown
,2023-10-16 19:54:42.864462,Other,unknown
,2023-10-16 19:55:12.894154,Other,unknown
,2023-10-16 19:55:42.904940,Other,unknown
,2023-10-16 19:56:12.911286,Other,unknown
,2023-10-16 19:56:42.925521,Other,unknown
,2023-10-16 19:57:12.935017,Other,unknown
,2023-10-16 19:57:42.949823,Other,unknown
,2023-10-16 19:58:12.964696,Other,unknown
,2023-10-16 19:58:42.975530,Other,unknown
,2023-10-16 19:59:12.984054,Other,unknown
,2023-10-16 19:59:42.995882,Other,unknown
,2023-10-16 20:00:13.161974,Other,unknown
,2023-10-16 20:00:43.172313,Other,unknown
,2023-10-16 20:01:13.189549,Other,unknown
,2023-10-16 20:01:43.198662,Other,unknown
,2023-10-16 20:02:13.210659,Other,unknown
,2023-10-16 20:02:43.219418,Other,unknown
Sign in to Outlook - Google Chrome,2023-10-16 20:03:13.232383,Browsers,unknown
Stanford Login - Google Chrome,2023-10-16 20:03:43.240272,Browsers,unknown
Stanford Login - Google Chrome,2023-10-16 20:04:13.263122,Browsers,unknown
Connecting…,2023-10-16 20:04:43.274723,Other,unknown
Zoom Meeting,2023-10-16 20:05:13.301463,Other,unknown
CS236: Generative AI - Online LaTeX Editor Overleaf - Google Chrome,2023-10-16 20:05:43.305541,School,Overleaf
Zoom Meeting,2023-10-16 20:06:13.310255,Other,unknown
Zoom Meeting,2023-10-16 20:06:43.318626,Other,unknown
Zoom Meeting,2023-10-16 20:07:13.324311,Other,unknown
Zoom Meeting,2023-10-16 20:07:43.326827,Other,unknown
Zoom Meeting,2023-10-16 20:08:13.332895,Other,unknown
Zoom Meeting,2023-10-16 20:08:43.337518,Other,unknown
